Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Sampling rate
0.46875,51.163,57.558,44.531,25.052,32.706,21.366,33.283,13.007,-1.31,21.86,
0.47656,47.05,52.601,39.367,21.921,28.739,25.887,33.944,16.398,-0.2972,26.089,
0.48438,41.383,47.379,32.223,14.851,21.56,18.545,27.842,12.704,-2.7421,20.48,
0.49219,35.34,42.366,26.042,6.4014,12.163,13.201,24.592,10.742,-1.8727,21.875,
0.5,34.415,39.528,23.339,8.551,9.6896,12.21,20.59,8.9211,-3.6414,18.727,
0.50781,35.033,36.619,25.228,13.028,10.75,7.4862,15.851,1.7244,-16.241,11.044,
0.51563,31.629,35.991,23.022,7.4954,9.1975,8.4598,14.582,0.95373,-13.855,9.6863,
0.52344,35.852,39.23,28.488,15.411,17.848,5.0615,14.88,0.85307,-12.569,10.821,
0.53125,32.944,38.049,29.16,17.322,21.577,1.4924,9.8437,-3.2035,-15.774,6.5062,
0.53906,37.461,41.11,34.398,20.401,25.959,-1.8655,12.396,-5.8013,-17.597,6.7467,
0.54688,37.429,43.926,35.132,20.235,27.688,6.927,18.187,1.972,-11.227,13.735,
0.55469,42.376,48.964,38.059,24.356,30.515,13.369,26.93,9.2484,-8.6531,22.163,
0.5625,32.673,42.642,30.964,20.049,21.833,13.101,25.51,10.402,-5.1066,22.923,
0.57031,31.732,38.342,25.857,15.082,12.867,8.5713,17.065,4.5296,-10.193,15.151,
0.57813,31.466,31.973,23.006,14.097,6.1412,2.5237,10.459,-2.1279,-20.849,8.3051,
0.58594,31.975,29.4,21.689,9.6169,6.6612,0.87204,8.9228,-3.2856,-21.505,7.899,
0.59375,17.707,23.853,13.746,0.16034,3.8877,-3.7758,5.8312,-8.4047,-25.055,3.2272,
0.60156,26.569,30.129,18.203,6.1075,5.6414,1.086,7.7794,-3.9908,-16.392,5.2309,
0.60938,21.097,25.679,16.574,7.4989,-0.1661,1.1697,6.0806,-8.0509,-21.913,0.26698,
0.61719,20.263,26.632,14.681,3.5203,2.9663,-1.8182,7.6907,-6.2283,-21.985,4.3613,
0.625,24.365,30.578,16.399,3.0268,5.1028,2.5796,11.09,-3.1109,-22.217,8.463,
0.63281,29.872,31.876,19.372,8.3091,5.4085,1.6391,9.1773,-4.482,-17.395,7.3676,
0.64063,20.384,24.166,11.536,-1.4425,-0.51254,-3.6086,1.8016,-11.008,-25.994,2.2303,
0.64844,18.896,22.59,14.461,7.0907,2.4136,-4.2676,2.086,-9.9381,-19.286,3.621,
0.65625,21.374,20.061,11.055,3.2515,-2.4452,-2.438,1.5233,-11.442,-17.486,0.19028,
0.66406,15.026,18.68,6.8849,3.5042,-4.7839,-1.6621,2.5941,-11.266,-17.986,1.2001,
0.67188,20.521,22.935,7.1634,1.9972,-5.0296,2.3423,9.175,-3.6997,-12.392,7.5588,
0.67969,30.914,30.328,17.546,13.946,3.1327,8.9698,15.683,0.0084246,-9.3824,10.933,
0.6875,19.301,27.318,11.051,3.2746,1.9816,-1.0378,9.4164,-3.969,-19.69,5.9825,
0.69531,21.378,30.305,15.59,10.43,7.0877,-3.4964,6.9631,-6.4208,-22.113,5.8416,
0.70313,26.609,33.373,21.986,10.966,12.362,1.8572,9.0867,-6.7217,-17.353,4.8214,
0.71094,27.053,30.728,21.832,13.194,11.483,-5.4247,3.9504,-10.791,-22.935,1.4744,
0.71875,24.187,26.142,18.7,10.947,8.0713,-9.904,-0.61708,-14.054,-27.866,-4.1328,
0.72656,28.058,27.189,21.452,12.869,10.791,-11.593,-0.82151,-14.697,-26.919,-1.6733,
0.73438,16.724,18.503,13.475,6.3438,4.4394,-16.078,-5.1983,-18.369,-32.808,-5.531,
0.74219,17.976,16.974,11.984,5.5456,1.3084,-16.747,-4.9779,-17.561,-28.402,-6.3162,
0.75,20.012,15.273,9.979,4.221,-0.79391,-11.429,-4.9679,-17.872,-28.86,-7.729,
0.75781,17.005,10.496,4.7414,0.19305,-9.218,-11.05,-8.733,-18.477,-31.077,-10.589,
0.76563,5.8547,1.9096,-4.6673,-4.7301,-16.757,-18.811,-15.726,-24.954,-35.689,-17.161,
0.77344,7.6628,4.1575,-1.8952,-6.633,-11.582,-11.373,-10.491,-19.292,-30.608,-14.114,
0.78125,7.6273,7.6783,-0.17767,-2.5465,-9.1434,-10.994,-5.2517,-13.894,-24.465,-6.5386,
0.78906,8.7698,12.402,3.6529,1.6817,-2.1615,-9.8962,-1.4691,-11.261,-22.644,-1.656,
0.79688,13.914,15.686,9.1869,5.8788,0.70886,-12.725,-3.5648,-13.653,-26.225,-4.3212,
0.80469,10.87,17.209,8.1448,-2.678,1.3777,-12.257,-4.5425,-14.191,-30.945,-6.4942,
0.8125,4.7913,16.165,7.1162,-3.5781,-1.3375,-23.283,-8.5402,-19.706,-33.267,-7.7256,
0.82031,-4.17,11.063,1.0156,-8.5304,-2.0005,-24.282,-10.78,-22.713,-38.287,-10.776,
0.82813,8.4203,12.891,8.08,2.0124,0.67868,-19.402,-9.0636,-19.189,-39.326,-12.738,
0.83594,1.5448,12.678,5.8315,-5.3328,0.98135,-21.364,-8.6272,-19.281,-38.742,-11.241,
0.84375,4.6338,15.791,8.7547,-5.225,1.3289,-9.6777,-1.5843,-10.032,-26.686,-2.6456,
0.85156,9.1279,17.551,6.8006,-7.9406,-2.5235,-5.3894,2.2042,-4.0299,-18.319,4.0709,
0.85938,5.2095,11.838,2.7166,-10.754,-5.079,-8.3026,-2.2505,-8.9943,-23.508,-0.58812,
0.86719,2.6412,5.8662,-2.8743,-15.107,-11.298,-11.329,-5.3295,-10.603,-26.645,-3.696,
0.875,-7.174,1.3077,-8.3354,-19.345,-15.399,-13.099,-8.1883,-14.553,-27.975,-6.7462,
0.88281,-2.6807,2.6797,-6.6263,-19.285,-17.135,-13.221,-6.879,-16.575,-27.716,-7.5294,
0.89063,1.3454,6.7536,-4.5458,-19.09,-17.479,-1.2623,-0.56299,-10.45,-22.82,-2.109,
0.89844,3.7243,12.813,-0.69879,-18.259,-12.88,2.2939,2.3426,-1.7163,-14.052,0.9679,
0.90625,9.7362,15.644,4.5695,-14.08,-11.705,-1.2848,4.1117,-1.3508,-11.438,3.0316,
0.91406,4.3435,15.572,3.8762,-16.497,-11.593,2.3986,4.3708,-0.53597,-10.376,4.1488,
0.92188,22.771,25.205,16.923,-4.5719,-2.2788,1.6392,7.5963,1.1025,-9.4989,7.9745,
0.92969,21.728,25.778,18.421,-6.6202,6.2486,-1.1253,4.3468,-5.7617,-18.827,1.2889,
0.9375,19.638,26.891,21.208,0.099206,9.7788,-3.2898,1.5952,-10.106,-24.954,-1.4928,
0.94531,9.9471,20.417,14.126,-4.5967,4.7767,-13.641,-4.4874,-16.076,-26.715,-5.4384,
0.95313,17.597,22.404,17.028,1.1072,5.4071,-13.368,-0.76895,-10.384,-17.31,2.1584,
0.96094,17.296,17.519,11.343,-6.1271,-0.583,-6.7083,-0.73106,-7.6515,-15.328,3.1972,
0.96875,1.5615,9.439,-1.5638,-20.936,-9.8302,0.63633,-0.82869,-2.6499,-7.8278,4.7182,
0.97656,-0.20707,6.1432,-4.7136,-26.34,-12.444,-1.1778,-0.39427,-2.1983,-7.9009,5.2429,
0.98438,-3.6774,8.2493,-3.166,-19.587,-12.676,2.7285,1.7741,-0.529,-4.9782,7.9312,
0.99219,9.5949,13.627,4.5271,-14.749,-9.9312,2.5022,2.2281,-0.3023,-2.7375,5.4464,
1,6.601,14.947,2.3078,-19.233,-6.643,-0.45458,2.1745,-3.8403,-7.6275,6.0126,
